budget_id,date_id,cc_id,product_id,budget_revenue,budget_cost,forecast_revenue,forecast_cost,scenario
376,2024-06-01,1,1,71566.74,39903.09,72431.66,39913.62,Actual
377,2024-06-01,1,2,25077.32,17781.64,22792.8,15531.39,Actual
378,2024-06-01,1,3,38987.69,21705.26,36233.23,20641.7,Actual
379,2024-06-01,1,4,121917.75,86443.82,132652.3,82960.05,Actual
380,2024-06-01,1,5,39441.24,31421.78,43571.98,26716.22,Actual
381,2024-06-01,2,1,39214.32,30140.23,34467.05,33195.66,Actual
382,2024-06-01,2,2,49859.8,36808.76,45065.42,39607.93,Actual
383,2024-06-01,2,3,124139.97,74261.09,123496.63,75505.8,Actual
384,2024-06-01,2,4,47516.71,30675.18,43917.43,26106.9,Actual
385,2024-06-01,2,5,71671.08,46848.83,63951.43,51554.97,Actual
386,2024-06-01,3,1,90930.88,55016.31,80924.05,61838.39,Actual
387,2024-06-01,3,2,104145.98,79765.41,114531.74,89888.67,Actual
388,2024-06-01,3,3,42985.48,22547.32,39154.4,20346.8,Actual
389,2024-06-01,3,4,91551.19,72416.64,84755.82,70263.58,Actual
390,2024-06-01,3,5,118138.64,59763.88,130004.68,65149.98,Actual
391,2024-06-01,4,1,109729.69,71783.61,121691.79,72653.62,Actual
392,2024-06-01,4,2,82084.34,51925.58,77993.76,57005.18,Actual
393,2024-06-01,4,3,74458.38,56765.74,80098.09,53514.08,Actual
394,2024-06-01,4,4,110965.15,79320.13,109786.29,75707.52,Actual
395,2024-06-01,4,5,118853.77,69227.08,135939.2,73566.83,Actual
396,2024-06-01,5,1,26332.16,18282.68,23444.23,17395.56,Actual
397,2024-06-01,5,2,48798.46,30160.81,46826.44,33467.6,Actual
398,2024-06-01,5,3,134383.56,91838.3,131607.69,89151.98,Actual
399,2024-06-01,5,4,27724.36,15851.1,26725.82,17546.43,Actual
400,2024-06-01,5,5,123374.5,79334.15,132678.08,76574.27,Actual
401,2024-06-01,6,1,23518.12,16681.32,21238.22,14766.93,Actual
402,2024-06-01,6,2,111653.88,62945.21,119168.7,56337.8,Actual
403,2024-06-01,6,3,79240.9,56089.78,83617.15,58618.74,Actual
404,2024-06-01,6,4,91445.78,57024.03,85682.26,65043.33,Actual
405,2024-06-01,6,5,100915.12,62648.06,114992.96,58024.3,Actual
406,2024-06-01,7,1,33098.72,17271.02,35965.01,17495.2,Actual
407,2024-06-01,7,2,46645.02,33458.19,52361.95,34971.0,Actual
408,2024-06-01,7,3,136129.88,76353.36,154903.82,72151.26,Actual
409,2024-06-01,7,4,102164.46,78501.97,92684.94,73786.58,Actual
410,2024-06-01,7,5,121400.06,74686.86,131480.67,81725.75,Actual
411,2024-06-01,8,1,138542.23,108810.22,149924.5,104874.79,Actual
412,2024-06-01,8,2,43356.09,22477.52,45245.25,25153.89,Actual
413,2024-06-01,8,3,26368.31,15408.81,29824.83,17096.36,Actual
414,2024-06-01,8,4,118077.5,75051.58,102851.62,67084.51,Actual
415,2024-06-01,8,5,24287.83,18374.08,22366.69,17082.3,Actual
416,2024-06-01,9,1,79705.73,53392.49,75144.65,54656.99,Actual
417,2024-06-01,9,2,38661.46,27871.96,38470.73,29166.01,Actual
418,2024-06-01,9,3,128848.32,72826.45,143437.9,75890.53,Actual
419,2024-06-01,9,4,43149.7,30303.34,46918.58,28362.72,Actual
420,2024-06-01,9,5,144454.08,99307.83,132916.88,108365.05,Actual
421,2024-06-01,10,1,62153.48,45939.56,55879.36,49643.62,Actual
422,2024-06-01,10,2,107884.21,83557.42,104891.51,80330.47,Actual
423,2024-06-01,10,3,140472.24,89999.47,131395.14,78962.39,Actual
424,2024-06-01,10,4,135347.45,69453.84,127595.58,59129.49,Actual
425,2024-06-01,10,5,26243.31,19659.05,24844.26,22446.56,Actual
426,2024-06-01,11,1,98289.34,75763.92,109948.75,71479.25,Actual
427,2024-06-01,11,2,21380.03,13708.05,22861.7,12710.9,Actual
428,2024-06-01,11,3,49443.31,26724.67,56473.29,23695.87,Actual
429,2024-06-01,11,4,21213.41,10708.62,23711.82,11167.31,Actual
430,2024-06-01,11,5,40078.23,22355.06,34849.49,20538.53,Actual
431,2024-06-01,12,1,52106.6,26274.63,55864.49,23644.22,Actual
432,2024-06-01,12,2,60066.82,31310.04,61383.84,30867.32,Actual
433,2024-06-01,12,3,84476.43,46949.02,76944.47,49072.42,Actual
434,2024-06-01,12,4,112872.86,77262.17,100393.45,84032.28,Actual
435,2024-06-01,12,5,46135.27,35914.68,46815.87,34764.93,Actual
436,2024-06-01,13,1,32676.2,22109.27,29416.47,18898.0,Actual
437,2024-06-01,13,2,45059.34,27404.58,51090.98,24234.16,Actual
438,2024-06-01,13,3,147463.8,114200.28,141133.12,114952.62,Actual
439,2024-06-01,13,4,30793.38,21515.59,26780.4,21067.63,Actual
440,2024-06-01,13,5,137776.67,74969.78,121800.83,66218.49,Actual
441,2024-06-01,14,1,31208.44,17665.78,34664.63,18755.32,Actual
442,2024-06-01,14,2,46229.9,24222.42,46268.69,24381.94,Actual
443,2024-06-01,14,3,35575.57,19079.84,32390.47,18879.7,Actual
444,2024-06-01,14,4,67690.65,47507.41,60281.42,47182.09,Actual
445,2024-06-01,14,5,101338.74,54137.04,109687.66,49447.05,Actual
446,2024-06-01,15,1,23556.6,15411.6,25002.52,17608.69,Actual
447,2024-06-01,15,2,95062.8,56246.6,93218.9,54068.74,Actual
448,2024-06-01,15,3,62419.88,33713.95,53650.06,33876.09,Actual
449,2024-06-01,15,4,147459.57,83265.22,168107.2,77460.2,Actual
450,2024-06-01,15,5,93462.07,54371.72,86028.69,51168.27,Actual
451,2024-07-01,1,1,79830.33,59811.08,79981.53,66199.68,Actual
452,2024-07-01,1,2,21874.25,16457.25,19052.85,18715.2,Actual
453,2024-07-01,1,3,113913.02,87700.59,103101.71,75127.59,Actual
454,2024-07-01,1,4,143840.72,76336.06,158362.11,66632.17,Actual
455,2024-07-01,1,5,138566.41,107256.89,124000.56,97823.33,Actual
456,2024-07-01,2,1,89387.12,62336.24,101570.28,69149.18,Actual
457,2024-07-01,2,2,40179.0,20774.23,34990.95,22148.43,Actual
458,2024-07-01,2,3,26929.85,13649.68,30690.46,14757.27,Actual
459,2024-07-01,2,4,62043.8,48074.97,61937.44,52327.32,Actual
460,2024-07-01,2,5,50565.52,29930.06,56617.09,28854.21,Actual
461,2024-07-01,3,1,76412.12,50166.73,67516.22,50347.14,Actual
462,2024-07-01,3,2,95920.16,69397.62,89403.92,61136.43,Actual
463,2024-07-01,3,3,81283.02,56741.8,72975.64,57636.97,Actual
464,2024-07-01,3,4,147643.92,107170.42,134289.86,110430.13,Actual
465,2024-07-01,3,5,24912.73,15477.01,24164.58,15914.28,Actual
466,2024-07-01,4,1,145335.28,87222.62,134184.81,93992.27,Actual
467,2024-07-01,4,2,149899.79,95286.24,156626.78,90916.78,Actual
468,2024-07-01,4,3,44766.8,27256.13,43250.16,24320.88,Actual
469,2024-07-01,4,4,29789.91,21061.1,32992.42,23454.49,Actual
470,2024-07-01,4,5,82700.41,53240.14,80936.29,56040.8,Actual
471,2024-07-01,5,1,130152.1,99955.4,149602.78,106642.49,Actual
472,2024-07-01,5,2,51447.84,39647.38,55691.79,43624.93,Actual
473,2024-07-01,5,3,90484.27,58393.65,80160.88,55484.03,Actual
474,2024-07-01,5,4,147531.58,97693.27,127568.3,86792.19,Actual
475,2024-07-01,5,5,111961.47,59301.75,127412.54,56640.16,Actual
476,2024-07-01,6,1,138363.43,72865.87,146554.24,82974.57,Actual
477,2024-07-01,6,2,141194.27,102936.92,141620.79,97171.52,Actual
478,2024-07-01,6,3,34467.59,23721.01,31279.41,23796.17,Actual
479,2024-07-01,6,4,105414.99,62420.83,112286.05,65559.96,Actual
480,2024-07-01,6,5,114235.15,71014.03,105452.98,80559.63,Actual
481,2024-07-01,7,1,111552.32,70603.56,98410.62,61569.6,Actual
482,2024-07-01,7,2,120011.62,75916.18,123874.97,86125.56,Actual
483,2024-07-01,7,3,134009.17,67238.84,151235.15,73717.83,Actual
484,2024-07-01,7,4,85202.01,46782.2,78852.53,48197.73,Actual
485,2024-07-01,7,5,53859.84,36283.52,57242.93,33181.77,Actual
486,2024-07-01,8,1,105355.84,82331.03,114345.79,72051.32,Actual
487,2024-07-01,8,2,39627.66,22644.66,39304.67,21274.82,Actual
488,2024-07-01,8,3,97907.35,51549.05,101224.47,46016.18,Actual
489,2024-07-01,8,4,79612.4,51811.53,81651.82,45192.21,Actual
490,2024-07-01,8,5,72346.99,55973.09,82417.41,50428.6,Actual
491,2024-07-01,9,1,134617.28,95872.03,141335.82,108201.42,Actual
492,2024-07-01,9,2,137110.75,109659.56,118335.3,111549.17,Actual
493,2024-07-01,9,3,33127.35,17391.71,36778.19,19898.81,Actual
494,2024-07-01,9,4,148381.12,103100.5,166782.26,117856.34,Actual
495,2024-07-01,9,5,142057.45,88166.2,125843.91,94951.91,Actual
496,2024-07-01,10,1,94678.77,49455.65,81575.83,42763.1,Actual
497,2024-07-01,10,2,61559.57,37826.6,66931.66,35965.22,Actual
498,2024-07-01,10,3,103142.32,74875.59,107612.41,73844.72,Actual
499,2024-07-01,10,4,113547.99,60580.78,101139.51,64883.37,Actual
500,2024-07-01,10,5,103474.05,64958.45,110212.83,63627.4,Actual
501,2024-07-01,11,1,99695.89,55314.97,111409.92,51965.44,Actual
502,2024-07-01,11,2,24226.56,12623.63,27320.85,14328.93,Actual
503,2024-07-01,11,3,82229.53,45432.49,80583.3,51968.53,Actual
504,2024-07-01,11,4,40202.86,21203.79,34383.43,21708.32,Actual
505,2024-07-01,11,5,97199.96,77656.63,92213.42,80006.62,Actual
506,2024-07-01,12,1,83650.78,50910.16,74940.04,55379.27,Actual
507,2024-07-01,12,2,72577.43,38613.65,83124.68,39766.77,Actual
508,2024-07-01,12,3,70934.65,48369.74,69545.41,55133.14,Actual
509,2024-07-01,12,4,63041.7,36899.71,64324.15,42264.36,Actual
510,2024-07-01,12,5,37232.21,22499.17,39109.58,20607.14,Actual
511,2024-07-01,13,1,134151.42,93992.44,133885.79,99410.77,Actual
512,2024-07-01,13,2,128388.69,72860.4,147434.98,70480.17,Actual
513,2024-07-01,13,3,134234.01,67580.75,134455.92,74143.28,Actual
514,2024-07-01,13,4,25112.3,13958.33,27033.43,15004.4,Actual
515,2024-07-01,13,5,66894.11,34143.94,67853.02,35363.01,Actual
516,2024-07-01,14,1,102404.78,52927.84,107682.52,53867.5,Actual
517,2024-07-01,14,2,141980.07,104179.32,160021.56,108050.33,Actual
518,2024-07-01,14,3,74285.21,42030.84,77684.78,45840.14,Actual
519,2024-07-01,14,4,124177.08,81674.58,129376.34,71757.37,Actual
520,2024-07-01,14,5,79084.56,60903.19,90569.14,52072.21,Actual
521,2024-07-01,15,1,136561.27,103429.39,151715.1,92084.83,Actual
522,2024-07-01,15,2,129901.24,80860.36,118777.52,69019.45,Actual
523,2024-07-01,15,3,20422.14,11464.96,22392.12,12470.56,Actual
524,2024-07-01,15,4,52983.34,30775.52,53112.98,26867.39,Actual
525,2024-07-01,15,5,134868.9,87203.24,141001.09,92327.95,Actual
526,2024-08-01,1,1,75050.94,44574.54,79640.72,38410.81,Actual
527,2024-08-01,1,2,82995.68,42539.23,93773.88,43780.68,Actual
528,2024-08-01,1,3,103907.04,60260.13,110919.37,56187.29,Actual
529,2024-08-01,1,4,126974.31,75592.41,135176.14,81950.9,Actual
530,2024-08-01,1,5,40599.19,26864.96,34929.67,28308.86,Actual
531,2024-08-01,2,1,76475.24,43424.9,69542.62,46640.78,Actual
532,2024-08-01,2,2,68092.59,43890.8,59469.61,40916.57,Actual
533,2024-08-01,2,3,23959.5,16749.93,22833.04,16641.04,Actual
534,2024-08-01,2,4,125039.14,87129.49,134556.91,89009.59,Actual
535,2024-08-01,2,5,37719.35,22264.09,37878.37,22539.3,Actual
536,2024-08-01,3,1,116834.36,74059.53,129040.86,82102.48,Actual
537,2024-08-01,3,2,53296.18,35919.29,46255.38,34802.84,Actual
538,2024-08-01,3,3,101634.12,52750.74,109802.94,49827.23,Actual
539,2024-08-01,3,4,66953.14,42288.73,69939.0,38771.28,Actual
540,2024-08-01,3,5,81741.6,53510.36,74146.57,47980.78,Actual
541,2024-08-01,4,1,130353.39,75900.62,124135.87,76138.9,Actual
542,2024-08-01,4,2,20159.15,12380.22,18969.22,11933.62,Actual
543,2024-08-01,4,3,83182.8,41921.88,71024.91,39918.59,Actual
544,2024-08-01,4,4,110152.28,57917.51,112021.92,56562.89,Actual
545,2024-08-01,4,5,87363.0,67907.49,97868.71,70576.69,Actual
546,2024-08-01,5,1,64744.59,42301.42,72482.62,37109.38,Actual
547,2024-08-01,5,2,116384.23,85803.02,125477.1,81230.75,Actual
548,2024-08-01,5,3,108682.05,60358.7,104948.31,53149.45,Actual
549,2024-08-01,5,4,33051.62,18269.88,36497.39,19987.76,Actual
550,2024-08-01,5,5,76669.33,47753.36,84571.51,48280.99,Actual
551,2024-08-01,6,1,123564.45,71411.3,132317.7,78763.89,Actual
552,2024-08-01,6,2,26338.77,14505.52,24045.0,16367.25,Actual
553,2024-08-01,6,3,32150.55,24502.06,33780.89,26551.57,Actual
554,2024-08-01,6,4,42465.12,24287.11,41052.44,24030.72,Actual
555,2024-08-01,6,5,40706.28,23200.65,37017.37,21278.98,Actual
556,2024-08-01,7,1,115243.84,63116.21,121446.19,68937.44,Actual
557,2024-08-01,7,2,133894.74,103836.45,134851.94,104876.89,Actual
558,2024-08-01,7,3,57449.71,34261.92,52118.96,34003.19,Actual
559,2024-08-01,7,4,146168.64,109345.86,130387.63,121375.67,Actual
560,2024-08-01,7,5,95677.7,72941.92,95836.85,63057.98,Actual
561,2024-08-01,8,1,120019.39,95129.22,134154.76,102018.53,Actual
562,2024-08-01,8,2,46599.55,33658.1,51393.74,30474.27,Actual
563,2024-08-01,8,3,95998.36,59107.02,97842.19,66450.36,Actual
564,2024-08-01,8,4,115557.41,75995.64,122534.88,69245.13,Actual
565,2024-08-01,8,5,55088.08,42961.99,50594.3,45450.31,Actual
566,2024-08-01,9,1,131137.43,84937.65,127119.11,84408.09,Actual
567,2024-08-01,9,2,24900.58,14220.06,24795.78,13137.2,Actual
568,2024-08-01,9,3,79942.77,52730.46,74706.43,55235.8,Actual
569,2024-08-01,9,4,118027.67,85519.18,128176.53,82847.65,Actual
570,2024-08-01,9,5,58783.15,38734.32,63321.38,41107.71,Actual
571,2024-08-01,10,1,109123.77,80827.07,100042.69,74719.71,Actual
572,2024-08-01,10,2,47667.7,36648.11,52832.53,41906.41,Actual
573,2024-08-01,10,3,98062.52,58739.19,101018.76,57911.13,Actual
574,2024-08-01,10,4,117894.01,91791.01,131616.41,81437.41,Actual
575,2024-08-01,10,5,69836.4,54994.35,76185.65,50803.92,Actual
576,2024-08-01,11,1,73907.97,45812.25,84051.85,39446.47,Actual
577,2024-08-01,11,2,136957.7,102946.92,140009.97,104369.62,Actual
578,2024-08-01,11,3,82067.85,62960.17,86678.28,60254.41,Actual
579,2024-08-01,11,4,120693.05,94671.3,122845.67,98727.21,Actual
580,2024-08-01,11,5,78284.55,53992.1,80962.67,55765.9,Actual
581,2024-08-01,12,1,85246.88,55955.81,73898.06,57175.79,Actual
582,2024-08-01,12,2,132698.61,84033.8,137374.3,82414.22,Actual
583,2024-08-01,12,3,120523.15,95455.15,134974.31,91730.77,Actual
584,2024-08-01,12,4,114205.3,87649.57,110687.35,74770.83,Actual
585,2024-08-01,12,5,95016.52,74111.15,107369.21,82266.31,Actual
586,2024-08-01,13,1,126716.42,100304.49,136382.54,114645.15,Actual
587,2024-08-01,13,2,68743.91,42914.61,76607.17,46711.45,Actual
588,2024-08-01,13,3,27385.03,19529.89,28125.27,22313.6,Actual
589,2024-08-01,13,4,126312.67,98664.69,119330.82,110834.38,Actual
590,2024-08-01,13,5,79857.19,45836.46,81882.49,43836.82,Actual
591,2024-08-01,14,1,122811.34,87109.58,135699.41,94597.92,Actual
592,2024-08-01,14,2,91737.94,63981.92,92792.59,54870.8,Actual
593,2024-08-01,14,3,47039.69,30534.12,47628.74,34853.3,Actual
594,2024-08-01,14,4,114560.13,70380.54,117645.26,60218.88,Actual
595,2024-08-01,14,5,64501.86,41046.2,63269.61,38517.72,Actual
596,2024-08-01,15,1,49874.6,28825.39,47010.89,25505.15,Actual
597,2024-08-01,15,2,55875.86,40556.21,51297.41,40222.85,Actual
598,2024-08-01,15,3,73982.77,54030.93,78712.14,55420.41,Actual
599,2024-08-01,15,4,75711.46,55805.91,67396.04,49764.46,Actual
600,2024-08-01,15,5,44853.18,28913.06,40304.53,30502.98,Actual
601,2024-09-01,1,1,97810.1,65260.7,110053.14,73081.06,Actual
602,2024-09-01,1,2,29576.42,15809.85,33562.1,14073.19,Actual
603,2024-09-01,1,3,87785.8,46008.2,82779.95,48769.52,Actual
604,2024-09-01,1,4,136077.18,86439.94,130605.76,78754.55,Actual
605,2024-09-01,1,5,123303.87,72551.2,106902.48,63738.07,Actual
606,2024-09-01,2,1,35744.58,25083.57,33883.29,24999.49,Actual
607,2024-09-01,2,2,93152.92,64242.3,95684.5,59783.98,Actual
608,2024-09-01,2,3,73834.8,55818.58,69103.83,62624.93,Actual
609,2024-09-01,2,4,93404.69,65298.37,98580.5,62886.12,Actual
610,2024-09-01,2,5,82991.68,59179.82,89728.09,67937.26,Actual
611,2024-09-01,3,1,147250.32,116892.71,165411.81,106496.77,Actual
612,2024-09-01,3,2,134503.02,96134.28,150363.81,97650.16,Actual
613,2024-09-01,3,3,34550.39,19247.68,33113.18,18290.03,Actual
614,2024-09-01,3,4,96439.36,57844.01,90750.13,54394.09,Actual
615,2024-09-01,3,5,96366.19,52465.26,110359.17,53708.48,Actual
616,2024-09-01,4,1,70309.2,50331.01,72106.12,53044.99,Actual
617,2024-09-01,4,2,56174.04,38182.44,51141.63,39413.6,Actual
618,2024-09-01,4,3,110512.07,59535.58,121777.91,54511.01,Actual
619,2024-09-01,4,4,138101.22,88494.58,154884.73,97997.53,Actual
620,2024-09-01,4,5,53889.42,38653.74,56932.87,36522.2,Actual
621,2024-09-01,5,1,110326.17,56430.68,117367.37,54172.88,Actual
622,2024-09-01,5,2,60359.82,45072.91,52071.21,43007.18,Actual
623,2024-09-01,5,3,65363.46,47867.41,66995.96,50875.96,Actual
624,2024-09-01,5,4,60790.44,37521.15,58009.2,34031.67,Actual
625,2024-09-01,5,5,42373.16,27917.93,47635.58,31521.0,Actual
626,2024-09-01,6,1,128420.99,92123.18,112855.28,84121.28,Actual
627,2024-09-01,6,2,67307.7,37454.89,58040.26,37935.59,Actual
628,2024-09-01,6,3,74077.87,57620.37,71149.22,63718.22,Actual
629,2024-09-01,6,4,55850.5,38571.95,57166.32,34820.46,Actual
630,2024-09-01,6,5,69609.18,42194.47,64634.75,39987.76,Actual
631,2024-09-01,7,1,148847.26,77892.98,132976.42,82669.69,Actual
632,2024-09-01,7,2,42329.24,30099.61,36761.6,28672.94,Actual
633,2024-09-01,7,3,68236.21,37567.81,77717.14,40395.72,Actual
634,2024-09-01,7,4,29446.26,21580.69,31826.86,23402.88,Actual
635,2024-09-01,7,5,103719.0,52263.3,94718.91,51526.03,Actual
636,2024-09-01,8,1,52191.93,28818.5,50773.45,28297.41,Actual
637,2024-09-01,8,2,102166.16,62597.27,110406.49,67035.37,Actual
638,2024-09-01,8,3,77647.25,40502.13,70184.37,37561.2,Actual
639,2024-09-01,8,4,62629.74,38327.34,58196.41,34351.06,Actual
640,2024-09-01,8,5,36777.08,26562.04,32988.6,27375.33,Actual
641,2024-09-01,9,1,21396.1,13728.27,24021.04,12783.47,Actual
642,2024-09-01,9,2,34697.03,24218.24,31883.26,21427.93,Actual
643,2024-09-01,9,3,113981.32,84231.85,99333.15,94603.13,Actual
644,2024-09-01,9,4,66616.6,37307.85,71382.63,37732.18,Actual
645,2024-09-01,9,5,104490.33,60428.21,117935.4,53362.65,Actual
646,2024-09-01,10,1,63059.94,43168.43,64584.91,39087.19,Actual
647,2024-09-01,10,2,137519.16,80096.51,119004.66,78468.09,Actual
648,2024-09-01,10,3,116138.41,74087.36,122414.98,81520.99,Actual
649,2024-09-01,10,4,75066.96,57574.29,70183.69,65829.22,Actual
650,2024-09-01,10,5,52324.05,33818.79,47530.07,33181.74,Actual
651,2024-09-01,11,1,68956.32,37743.11,72859.4,34935.72,Actual
652,2024-09-01,11,2,116368.87,62552.75,101361.34,58231.95,Actual
653,2024-09-01,11,3,64777.08,45905.91,70780.1,51393.05,Actual
654,2024-09-01,11,4,90657.76,59191.5,79941.7,61097.93,Actual
655,2024-09-01,11,5,100027.71,57816.99,113879.28,49683.93,Actual
656,2024-09-01,12,1,116881.24,84802.92,110530.29,83105.33,Actual
657,2024-09-01,12,2,72127.34,53533.16,76733.86,46714.15,Actual
658,2024-09-01,12,3,25634.3,14233.97,27236.94,12542.99,Actual
659,2024-09-01,12,4,98713.12,51188.6,112460.03,57657.4,Actual
660,2024-09-01,12,5,55045.14,32334.44,51605.77,32470.79,Actual
661,2024-09-01,13,1,38969.02,21279.56,38630.79,20423.94,Actual
662,2024-09-01,13,2,54701.72,29018.82,47015.83,29691.38,Actual
663,2024-09-01,13,3,136909.72,82454.5,131238.72,73335.09,Actual
664,2024-09-01,13,4,56423.53,42641.38,62199.44,39466.17,Actual
665,2024-09-01,13,5,82812.79,64981.15,88572.41,72143.68,Actual
666,2024-09-01,14,1,42920.45,23216.94,43115.79,24139.49,Actual
667,2024-09-01,14,2,88823.52,69911.02,84366.61,78437.52,Actual
668,2024-09-01,14,3,32047.48,24901.63,35384.04,21483.13,Actual
669,2024-09-01,14,4,22536.61,11545.2,24257.78,10485.84,Actual
670,2024-09-01,14,5,93213.8,70341.15,100762.1,70092.15,Actual
671,2024-09-01,15,1,48469.38,29017.82,42731.74,32567.95,Actual
672,2024-09-01,15,2,67542.36,46253.61,64285.18,48883.98,Actual
673,2024-09-01,15,3,72444.81,52261.48,80342.33,55866.53,Actual
674,2024-09-01,15,4,108248.79,74151.55,95581.62,80932.34,Actual
675,2024-09-01,15,5,61009.72,47771.64,70138.67,49276.27,Actual
676,2024-10-01,1,1,78426.94,41193.84,75121.26,47279.67,Actual
677,2024-10-01,1,2,133578.41,104087.29,123881.13,102402.5,Actual
678,2024-10-01,1,3,74510.47,51069.92,76907.45,55677.09,Actual
679,2024-10-01,1,4,139873.91,110513.98,138962.13,101430.37,Actual
680,2024-10-01,1,5,59843.65,41951.88,56468.06,38719.44,Actual
681,2024-10-01,2,1,114849.8,85519.89,125467.06,72745.96,Actual
682,2024-10-01,2,2,141782.79,113201.2,140279.7,101090.52,Actual
683,2024-10-01,2,3,27972.49,21592.79,28921.24,20537.03,Actual
684,2024-10-01,2,4,52661.91,40855.22,57435.52,39757.58,Actual
685,2024-10-01,2,5,20787.68,12517.34,23640.04,14389.21,Actual
686,2024-10-01,3,1,121934.3,77417.11,133849.93,70042.04,Actual
687,2024-10-01,3,2,22145.26,15625.3,21935.47,17198.75,Actual
688,2024-10-01,3,3,85062.32,54901.36,85096.62,55421.36,Actual
689,2024-10-01,3,4,93380.72,69820.19,98765.24,60469.59,Actual
690,2024-10-01,3,5,27490.12,19246.34,30543.28,18677.43,Actual
691,2024-10-01,4,1,52535.28,33833.66,47505.89,29148.84,Actual
692,2024-10-01,4,2,61335.28,33985.51,52664.39,37082.1,Actual
693,2024-10-01,4,3,111447.55,61492.46,114161.67,59846.61,Actual
694,2024-10-01,4,4,96127.56,63770.38,95025.28,65417.58,Actual
695,2024-10-01,4,5,111222.12,88543.04,112545.21,96658.64,Actual
696,2024-10-01,5,1,55093.27,31347.28,48772.06,35432.93,Actual
697,2024-10-01,5,2,147107.8,78553.06,126203.23,90177.06,Actual
698,2024-10-01,5,3,56032.94,35270.42,49206.55,37591.88,Actual
699,2024-10-01,5,4,62425.06,43169.77,53961.82,46539.13,Actual
700,2024-10-01,5,5,99010.47,69609.56,108329.36,59613.92,Actual
701,2024-10-01,6,1,68540.52,44795.2,73189.66,39998.91,Actual
702,2024-10-01,6,2,96589.28,52204.72,94078.89,46257.42,Actual
703,2024-10-01,6,3,91321.96,54652.43,100570.47,54542.74,Actual
704,2024-10-01,6,4,83381.83,64049.96,73221.68,73563.47,Actual
705,2024-10-01,6,5,58393.89,30722.36,65701.86,35142.53,Actual
706,2024-10-01,7,1,108089.48,71915.7,100447.42,82579.82,Actual
707,2024-10-01,7,2,105543.66,71498.33,95355.65,74675.47,Actual
708,2024-10-01,7,3,24997.78,17803.05,27977.37,18203.79,Actual
709,2024-10-01,7,4,127547.37,70307.77,136154.09,60020.04,Actual
710,2024-10-01,7,5,108733.35,79301.6,115962.39,76716.29,Actual
711,2024-10-01,8,1,54936.18,31419.06,57186.92,27862.36,Actual
712,2024-10-01,8,2,91965.54,72398.04,82835.8,63710.74,Actual
713,2024-10-01,8,3,70938.25,45847.09,80815.71,48248.43,Actual
714,2024-10-01,8,4,115558.19,87652.09,103318.44,94530.1,Actual
715,2024-10-01,8,5,110051.31,75481.78,102030.19,73058.62,Actual
716,2024-10-01,9,1,80063.16,50038.94,88479.16,45614.37,Actual
717,2024-10-01,9,2,40309.05,23191.42,45349.97,24848.06,Actual
718,2024-10-01,9,3,68984.96,37978.42,65316.35,38956.54,Actual
719,2024-10-01,9,4,51837.28,27739.84,47837.1,23992.78,Actual
720,2024-10-01,9,5,93112.74,47726.4,105719.25,50822.27,Actual
721,2024-10-01,10,1,145489.05,88867.76,128139.65,93537.94,Actual
722,2024-10-01,10,2,106837.94,65446.12,98323.56,57331.6,Actual
723,2024-10-01,10,3,52252.43,27038.48,46409.19,23806.98,Actual
724,2024-10-01,10,4,127829.65,101135.13,140367.89,98799.35,Actual
725,2024-10-01,10,5,75139.62,49470.75,74420.59,44345.7,Actual
726,2024-10-01,11,1,84472.78,46075.05,89509.11,48753.8,Actual
727,2024-10-01,11,2,106731.36,70917.87,93327.1,80854.37,Actual
728,2024-10-01,11,3,121917.58,97513.5,122604.35,85404.72,Actual
729,2024-10-01,11,4,120807.19,79141.45,131163.05,68392.42,Actual
730,2024-10-01,11,5,144187.44,114312.55,125774.5,116213.28,Actual
731,2024-10-01,12,1,77066.71,48857.63,68068.97,45722.96,Actual
732,2024-10-01,12,2,22084.16,16766.74,20944.24,18394.9,Actual
733,2024-10-01,12,3,68826.32,40544.8,58947.33,46392.67,Actual
734,2024-10-01,12,4,22439.53,13126.91,25156.5,12203.95,Actual
735,2024-10-01,12,5,141931.43,83789.33,151793.8,86100.5,Actual
736,2024-10-01,13,1,118628.49,82021.0,108872.57,83681.0,Actual
737,2024-10-01,13,2,87081.43,65137.36,88484.55,61671.49,Actual
738,2024-10-01,13,3,45852.64,27663.25,49958.35,25045.06,Actual
739,2024-10-01,13,4,78236.32,40863.38,85056.1,40612.46,Actual
740,2024-10-01,13,5,132282.74,93501.06,128024.75,97636.68,Actual
741,2024-10-01,14,1,67052.46,46914.55,71746.35,41359.47,Actual
742,2024-10-01,14,2,115162.27,82464.3,105302.74,88722.37,Actual
743,2024-10-01,14,3,129191.35,76394.16,126268.82,73897.47,Actual
744,2024-10-01,14,4,98643.15,65719.79,93508.16,69254.55,Actual
745,2024-10-01,14,5,74423.34,48667.25,71571.25,45199.22,Actual
746,2024-10-01,15,1,56388.27,36905.32,55246.76,35995.6,Actual
747,2024-10-01,15,2,28147.26,15379.59,31598.11,16646.89,Actual
748,2024-10-01,15,3,34718.22,25542.22,37896.03,27297.87,Actual
749,2024-10-01,15,4,118734.85,76890.64,106178.0,69788.3,Actual
750,2024-10-01,15,5,63062.23,49041.32,66956.89,51603.66,Actual
751,2024-11-01,1,1,104753.51,62892.79,101500.92,69656.13,Actual
752,2024-11-01,1,2,135456.17,104793.5,135941.31,100041.96,Actual
